subject, practice/real, trial#, target/nontarget, target type, setsize, error, responsetime 




1250372, 1, 1, 1, 2, 16, 0, 1996 
1250372, 1, 2, 2, 1, 8, 0, 1042 
1250372, 1, 3, 1, 1, 4, 0, 862 
1250372, 1, 4, 2, 2, 16, 0, 1466 
1250372, 1, 5, 1, 2, 4, 0, 1519 
1250372, 1, 6, 1, 1, 16, 0, 1398 
1250372, 1, 7, 2, 2, 4, 0, 1015 
1250372, 1, 8, 2, 1, 8, 0, 988 
1250372, 1, 9, 1, 2, 16, 1, 1677 
1250372, 1, 10, 2, 1, 8, 0, 1123 
1250372, 1, 11, 1, 2, 8, 0, 1535 
1250372, 1, 12, 1, 1, 8, 0, 1325 
1250372, 2, 1, 2, 1, 4, 0, 1251 
1250372, 2, 2, 1, 1, 16, 0, 892 
1250372, 2, 3, 2, 1, 8, 0, 1217 
1250372, 2, 4, 1, 2, 16, 0, 2323 
1250372, 2, 5, 1, 1, 16, 0, 1663 
1250372, 2, 6, 1, 2, 4, 0, 1181 
1250372, 2, 7, 1, 2, 16, 0, 1020 
1250372, 2, 8, 2, 2, 16, 0, 2441 
1250372, 2, 9, 2, 1, 4, 0, 1710 
1250372, 2, 10, 1, 2, 4, 0, 944 
1250372, 2, 11, 2, 1, 4, 0, 923 
1250372, 2, 12, 2, 2, 16, 0, 1522 
1250372, 2, 13, 2, 1, 8, 0, 1868 
1250372, 2, 14, 2, 1, 4, 0, 732 
1250372, 2, 15, 2, 2, 16, 0, 1374 
1250372, 2, 16, 2, 2, 8, 0, 799 
1250372, 2, 17, 1, 1, 8, 0, 1339 
1250372, 2, 18, 2, 2, 8, 0, 782 
1250372, 2, 19, 1, 1, 16, 0, 1102 
1250372, 2, 20, 2, 1, 8, 0, 879 
1250372, 2, 21, 2, 2, 8, 0, 947 
1250372, 2, 22, 2, 1, 16, 0, 1421 
1250372, 2, 23, 2, 2, 4, 0, 1004 
1250372, 2, 24, 1, 1, 8, 0, 945 
1250372, 2, 25, 1, 2, 16, 1, 1580 
1250372, 2, 26, 1, 1, 8, 0, 1297 
1250372, 2, 27, 2, 2, 16, 0, 1372 
1250372, 2, 28, 2, 1, 8, 1, 1326 
1250372, 2, 29, 2, 2, 4, 0, 1693 
1250372, 2, 30, 1, 1, 8, 0, 1438 
1250372, 2, 31, 2, 1, 16, 0, 1181 
1250372, 2, 32, 2, 1, 16, 0, 1311 
1250372, 2, 33, 2, 2, 16, 0, 1648 
1250372, 2, 34, 2, 1, 16, 0, 1436 
1250372, 2, 35, 1, 1, 16, 0, 865 
1250372, 2, 36, 2, 1, 8, 0, 1480 
1250372, 2, 37, 1, 2, 4, 0, 924 
1250372, 2, 38, 2, 1, 4, 0, 1201 
1250372, 2, 39, 1, 2, 8, 0, 1006 
1250372, 2, 40, 2, 2, 16, 0, 1730 
1250372, 2, 41, 1, 1, 8, 0, 814 
1250372, 2, 42, 1, 1, 4, 0, 801 
1250372, 2, 43, 2, 2, 16, 0, 1538 
1250372, 2, 44, 1, 1, 16, 0, 989 
1250372, 2, 45, 2, 2, 16, 0, 1115 
1250372, 2, 46, 1, 1, 4, 0, 803 
