3627318,0,0,811.9,385.0,1697.0,848.2,389.2,1659.0
3627320,0,0,811.8,384.9,1699.0,848.0,388.9,1659.0
3627322,0,0,811.7,383.8,1699.0,848.0,389.0,1659.0
3627324,0,0,811.5,383.9,1699.0,847.8,389.0,1659.0
3627326,0,0,811.4,383.3,1698.0,847.5,388.5,1659.0
3627328,0,0,811.2,383.1,1697.0,847.2,388.0,1658.0
3627330,0,0,811.3,383.0,1698.0,846.9,387.6,1658.0
3627332,0,0,811.1,383.0,1697.0,846.6,387.7,1658.0
3627334,0,0,810.9,383.3,1698.0,846.5,387.7,1658.0
3627336,0,0,810.9,383.2,1698.0,846.4,387.8,1658.0
3627338,0,0,810.9,383.8,1697.0,846.3,387.8,1658.0
3627340,0,0,810.9,384.6,1697.0,846.3,387.9,1658.0
3627342,0,0,810.8,385.2,1697.0,846.2,387.6,1658.0
3627344,0,0,810.6,385.9,1698.0,846.2,387.7,1658.0
3627346,0,0,810.4,386.3,1698.0,846.5,387.8,1658.0
3627348,0,0,810.4,386.7,1698.0,846.6,387.9,1658.0
3627350,0,0,810.5,387.1,1700.0,846.6,388.0,1657.0
3627352,0,0,810.5,387.8,1700.0,846.7,388.4,1657.0
3627354,0,0,811.0,388.2,1700.0,846.8,388.6,1655.0
3627356,0,0,811.0,388.8,1702.0,847.1,389.6,1655.0
3627358,0,0,811.1,389.3,1704.0,847.3,390.5,1655.0
3627360,0,0,812.0,389.4,1704.0,847.5,392.0,1655.0
3627362,0,0,811.9,389.7,1705.0,847.8,392.0,1654.0
3627364,0,0,812.0,390.0,1703.0,848.0,392.0,1654.0
3627366,0,0,812.0,390.0,1703.0,848.2,392.1,1653.0
3627368,0,0,812.0,390.1,1704.0,848.3,392.4,1653.0
3627370,0,0,812.1,390.2,1703.0,848.3,392.2,1652.0
3627372,0,0,812.1,390.1,1702.0,848.3,392.9,1652.0
3627374,0,0,812.2,390.2,1703.0,848.6,393.1,1652.0
3627376,0,0,812.1,389.9,1702.0,848.8,393.3,1652.0
3627378,0,0,812.5,389.4,1702.0,849.2,393.2,1653.0
3627380,0,0,812.9,389.5,1702.0,849.0,393.1,1653.0
3627382,0,0,813.3,389.5,1701.0,849.0,392.7,1652.0
3627384,0,0,813.6,389.4,1700.0,848.8,392.0,1650.0
3627386,0,0,814.4,389.1,1699.0,848.8,391.6,1651.0
3627388,0,0,815.0,388.6,1699.0,848.6,391.4,1651.0
3627390,0,0,814.9,385.9,1699.0,848.6,391.0,1651.0
3627392,0,0,814.8,385.9,1698.0,848.6,390.7,1651.0
3627394,0,0,814.8,385.7,1698.0,848.7,390.1,1647.0
3627396,0,0,815.7,385.5,1698.0,848.6,389.9,1647.0
3627398,0,0,816.0,385.9,1698.0,848.5,389.6,1649.0
3627400,0,0,816.0,386.0,1698.0,848.8,389.5,1649.0
3627402,0,0,816.0,385.9,1700.0,849.1,389.3,1649.0
3627404,0,0,815.6,386.1,1700.0,849.3,389.4,1647.0
3627406,0,0,815.6,386.3,1702.0,849.1,389.2,1647.0
3627408,0,0,815.5,386.1,1702.0,849.3,389.4,1647.0
3627410,0,0,815.4,385.7,1701.0,849.5,389.6,1647.0
