g0310.asc,6,2,1,3588384,3588414,32,645.6,568.1,460.1,542.6,3.75,185
g0310.asc,6,2,2,3588384,3588418,36,638.4,572.1,441.9,544.4,3.98,195
g0310.asc,6,2,1,3588520,3588582,64,470.3,546.1,1464.8,649.9,19.83,472
g0310.asc,6,2,2,3588520,3588582,64,462.4,543.0,1429.8,661.0,19.34,507
g0310.asc,6,2,1,3588812,3588866,56,1448.8,630.6,1255.1,615.6,3.90,214
g0310.asc,6,2,2,3588812,3588866,56,1416.3,611.6,1222.8,608.5,3.88,195
g0310.asc,7,1,2,3591820,3591826,8,987.7,500.1,985.6,482.3,0.41,82
g0310.asc,7,1,1,3591780,3591830,52,957.9,560.6,839.5,615.4,2.73,196
g0310.asc,7,1,1,3591888,3591922,36,909.1,495.9,949.2,484.8,0.87,109
g0310.asc,7,2,1,3594496,3594534,40,971.9,580.8,788.9,591.3,3.73,156
g0310.asc,7,2,2,3594496,3594534,40,959.9,574.3,773.2,595.5,3.83,156
g0310.asc,7,2,1,3594712,3594766,56,798.1,584.6,1511.4,641.0,14.29,369
g0310.asc,7,2,2,3594712,3594766,56,775.3,588.3,1483.4,630.6,14.17,408
g0310.asc,7,2,1,3594916,3594946,32,1492.6,642.2,1272.3,629.5,4.38,248
g0310.asc,7,2,2,3594916,3594946,32,1474.2,613.2,1273.8,607.4,3.98,218
g0310.asc,8,1,1,3597514,3597520,8,933.9,537.4,924.1,538.7,0.20,43
g0310.asc,8,1,2,3597514,3597520,8,959.6,528.9,948.5,534.2,0.26,47
g0310.asc,8,1,1,3598122,3598160,40,902.2,527.2,859.3,669.5,3.37,228
g0310.asc,8,1,2,3598166,3598168,4,1003.4,470.8,1003.4,470.8,0.00,64
g0310.asc,8,1,1,3598194,3598240,48,871.7,659.6,935.8,525.1,3.34,184
g0310.asc,8,1,2,3598530,3598632,104,1003.8,514.6,991.6,493.5,0.54,228
g0310.asc,8,1,1,3598506,3598696,192,955.7,545.8,934.7,493.7,1.27,383
g0310.asc,8,2,1,3600574,3600612,40,950.1,566.0,607.3,577.1,6.95,268
g0310.asc,8,2,2,3600574,3600612,40,947.9,560.3,607.9,586.3,6.91,264
g0310.asc,8,2,1,3600806,3600832,28,619.7,565.5,467.0,577.3,3.06,169
g0310.asc,8,2,2,3600806,3600836,32,613.2,578.5,428.6,583.9,3.68,186
g0310.asc,8,2,2,3600994,3601064,72,435.7,557.1,1420.2,653.7,19.58,466
