MSG	3582514 TRIAL 6 START
MSG	3583807 DRIFTCORRECT LR LEFT  at 960,540  OFFSET 0.63 deg.  -10.2,-25.8 pix.
MSG	3583807 DRIFTCORRECT LR RIGHT at 960,540  OFFSET 0.26 deg.  12.3,-2.3 pix.
MSG	3584554 RECCFG P 500 2 1 
MSG	3584554 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	3584555 !MODE RECORD P 500 2 1
START	3584556 	LEFT	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RIGHT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RIGHT	RATE	 500.00	TRACKING	P	FILTER	2
3584556	  962.1	  538.0	 1780.0	  959.7	  530.2	 1824.0	.
3584558	  962.1	  538.2	 1779.0	  959.6	  530.6	 1824.0	.
3584560	  961.8	  538.6	 1779.0	  959.5	  530.6	 1826.0	.
3584562	  961.6	  538.0	 1779.0	  959.7	  530.6	 1826.0	.
SFIX L   3584564
SFIX R   3584564
3584564	  961.9	  537.4	 1778.0	  959.9	  530.6	 1826.0	.
3584566	  962.1	  537.3	 1778.0	  960.0	  530.8	 1826.0	.
3584568	  961.8	  537.4	 1778.0	  960.2	  530.7	 1826.0	.
3584570	  961.8	  537.4	 1777.0	  959.9	  530.6	 1826.0	.
3584572	  962.1	  537.3	 1777.0	  960.3	  530.9	 1825.0	.
3584574	  962.3	  537.1	 1777.0	  960.5	  531.1	 1825.0	.
3584576	  962.6	  537.2	 1777.0	  960.8	  530.8	 1825.0	.
3584578	  962.6	  537.3	 1777.0	  960.6	  530.6	 1825.0	.
3584580	  962.8	  536.5	 1777.0	  960.5	  530.5	 1824.0	.
3584582	  962.8	  536.7	 1776.0	  960.5	  530.4	 1823.0	.
3584584	  963.1	  536.9	 1776.0	  960.3	  528.8	 1823.0	.
3584586	  962.9	  536.7	 1777.0	  960.1	  529.0	 1820.0	.
3584588	  962.9	  537.0	 1777.0	  959.9	  528.9	 1820.0	.
3584590	  962.9	  536.7	 1777.0	  960.0	  528.6	 1820.0	.
3584592	  963.0	  536.5	 1777.0	  960.1	  528.5	 1821.0	.
3584594	  962.9	  536.3	 1777.0	  960.0	  528.3	 1821.0	.
3584596	  963.0	  536.2	 1777.0	  959.8	  527.8	 1821.0	.
3584598	  963.1	  535.3	 1776.0	  959.4	  527.6	 1820.0	.
3584600	  963.4	  534.9	 1776.0	  959.3	  527.4	 1820.0	.
3584602	  963.4	  535.0	 1775.0	  959.3	  526.0	 1820.0	.
3584604	  963.5	  534.7	 1775.0	  959.3	  526.2	 1820.0	.
3584606	  963.5	  534.2	 1776.0	  959.3	  525.7	 1820.0	.
3584608	  963.8	  534.5	 1776.0	  959.1	  525.2	 1819.0	.
3584610	  963.9	  534.7	 1776.0	  958.8	  525.2	 1819.0	.
3584612	  964.1	  534.6	 1776.0	  958.2	  525.3	 1818.0	.
3584614	  964.1	  534.8	 1776.0	  958.1	  525.3	 1818.0	.
3584616	  964.2	  534.7	 1776.0	  958.2	  525.5	 1819.0	.
3584618	  964.2	  534.7	 1776.0	  958.2	  525.7	 1819.0	.
3584620	  964.2	  534.9	 1776.0	  958.4	  526.2	 1819.0	.
3584622	  964.0	  535.0	 1776.0	  958.7	  526.8	 1819.0	.
3584624	  964.0	  535.4	 1773.0	  959.6	  527.3	 1819.0	.
3584626	  963.0	  535.8	 1773.0	  960.0	  528.1	 1820.0	.
3584628	  962.7	  536.0	 1773.0	  960.9	  530.5	 1820.0	.
3584630	  963.0	  538.4	 1776.0	  960.9	  531.0	 1820.0	.
3584632	  962.6	  538.5	 1777.0	  961.2	  531.8	 1820.0	.
